paper_title,first_author_year,antibody_name,antibody_type,manufacturer,catalog_number,labeling_stage,dilution
3D-Aligner: advanced computational tool for correcting image distortion in expansion microscopy,Loi 2024,"anti-mouse IgG Biotin (Jackson ImmunoResearch,715-066-150)",secondary,Jackson ImmunoResearch,715-066-150,pre-expansion,
Microtubules as a versatile reference standard for expansion microscopy,Chowdhury 2025,Sigma–Aldrich #T6199,primary,Sigma–Aldrich,T6199,pre-expansion,
Microtubules as a versatile reference standard for expansion microscopy,Chowdhury 2025,Synaptic Systems #302211,primary,Synaptic Systems,302211,pre-expansion,
Microtubules as a versatile reference standard for expansion microscopy,Chowdhury 2025,Synaptic Systems #302203,primary,Synaptic Systems,302203,pre-expansion,
Microtubules as a versatile reference standard for expansion microscopy,Chowdhury 2025,Abcam #ab18251,primary,Abcam,ab18251,pre-expansion,
Microtubules as a versatile reference standard for expansion microscopy,Chowdhury 2025,Abberior #ST635P-1001,secondary,Abberior,ST635P-1001,pre-expansion,1:5 (primary:secondary complex ratio)
Microtubules as a versatile reference standard for expansion microscopy,Chowdhury 2025,NanoTag Biotechnologies GmbH #N1202,secondary,NanoTag Biotechnologies GmbH,N1202,pre-expansion,1:5 (primary:secondary complex ratio)
Microtubules as a versatile reference standard for expansion microscopy,Chowdhury 2025,NanoTag Biotechnologies GmbH #N2402,secondary,NanoTag Biotechnologies GmbH,N2402,pre-expansion,1:5 (primary:secondary complex ratio)
Microtubules as a versatile reference standard for expansion microscopy,Chowdhury 2025,"FluoTag-X2 anti-Rabbit Star635P IgG, NanoTag, N2402-AB635P-S",secondary,NanoTag Biotechnologies GmbH,N2402-AB635P-S,post-expansion,
Microtubules as a versatile reference standard for expansion microscopy,Chowdhury 2025,"FluoTag-X2 anti-Rabbit ATTO643 IgG, NanoTag, N2402-At643-S",secondary,NanoTag Biotechnologies GmbH,N2402-At643-S,post-expansion,
Microtubules as a versatile reference standard for expansion microscopy,Chowdhury 2025,Proteintech 12329-1-AP,primary,Proteintech,12329-1-AP,post-expansion,
Microtubules as a versatile reference standard for expansion microscopy,Chowdhury 2025,Proteintech 24439-1-AP,primary,Proteintech,24439-1-AP,post-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,goat anti-podocalyxin,primary,R&D Systems Inc.,AF1556,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,rabbit anti-collagen IV,primary,Abcam,ab6586,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,mouse anti-alpha smooth muscle actin,primary,BioLegend Inc.,904601,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,rabbit anti-aquaporin 1,primary,Abcam,ab15080,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,guinea pig anti-cytokeratin 8+18,primary,Abcam,ab194130,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,mouse anti-agrin,primary,DSHB Inc.,6D2,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,rabbit anti-podocin,primary,Sigma-Aldrich,P0372,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,rabbit anti-TOMM20,primary,Santa Cruz Biotechnology,sc-11415,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,rabbit anti–LAMP-1,primary,Abcam,24170,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,anti-GM130,primary,BD Biosciences,610822,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,rabbit anti–GFP conjugated with Alexa Fluor 488,primary,Thermo Fisher Scientific,A-21311,post-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,rabbit anti-GFP conjugated with Alexa Fluor 647,primary,Thermo Fisher Scientific,A-31852,,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,rabbit anti-H3K27ac,primary,Active Motif,39133,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,rabbit anti-H3K4me3,primary,Active Motif,39159,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,rat anti-alpha tubulin,primary,Invitrogen,MA1-80017,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,goat anti-nogo N-18,primary,Santa Cruz Biotechnology,sc-11027,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,rabbit anti-PMP70,primary,Thermo Fisher Scientific,PA1-650,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,anti-vimentin V9,primary,Invitrogen,18-0052,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,donkey anti-goat (unconjugated),secondary,Jackson ImmunoResearch,705-005-151,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,donkey anti-rabbit (unconjugated),secondary,Jackson ImmunoResearch,712-545-150,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,donkey anti-mouse (unconjugated),secondary,Jackson ImmunoResearch,715-005-151,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,donkey anti-guinea pig (unconjugated),secondary,Jackson ImmunoResearch,706-001-003,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,donkey anti-rat (unconjugated),secondary,Jackson ImmunoResearch,712-005-153,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,donkey anti-rabbit conjugated with Alexa Fluor 488,secondary,Jackson ImmunoResearch,711-545-152,pre-expansion,
Feature-rich covalent stains for super-resolution and cleared tissue fluorescence microscopy,Mao 2020,donkey anti-mouse conjugated with Alexa Fluor 488,secondary,Jackson ImmunoResearch,715-545-150,pre-expansion,
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"anti-GFP (chicken, Invitrogen, A10262)",primary,Invitrogen,A10262,post-expansion,5-10 µl (per section)
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"GABAARα1 (rabbit, Synaptic Systems, 224203)",primary,Synaptic Systems,224203,post-expansion,10-40 µl (per section)
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"GABAARβ3 (mouse, BioLegend, 818501)",primary,BioLegend,818501,post-expansion,10-40 µl (per section)
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"VGAT (rabbit, Millipore, AB5062P)",primary,Millipore,AB5062P,post-expansion,10-40 µl (per section)
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"GAD2 (mouse, BioLegend, 844502)",primary,BioLegend,844502,post-expansion,10-40 µl (per section)
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"Gephyrin (mouse, BD, 612632)",primary,BD,612632,post-expansion,10-40 µl (per section)
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"Bassoon (Synaptic Systems, 141004)",primary,Synaptic Systems,141004,post-expansion,
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"Bassoon (Synaptic Systems, 141003)",primary,Synaptic Systems,141003,post-expansion,
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"PSD-95 (NeuroMab, 75-028)",primary,NeuroMab,75-028,post-expansion,
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"β-tubulin (ab6046, Abcam)",primary,Abcam,ab6046,post-expansion,1:300
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"anti–NF-H (PA1-10002, Invitrogen)",primary,Invitrogen,PA1-10002,pre-expansion,
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"anti–NF-H (PA1-10002, Invitrogen)",primary,Invitrogen,PA1-10002,post-expansion,
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"anti-chicken IgY (Alexa Fluor 647, Abcam, ab150175)",secondary,Abcam,ab150175,post-expansion,
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"anti-rabbit IgG (Alexa Fluor Plus 488, Invitrogen, A32731)",secondary,Invitrogen,A32731,post-expansion,
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"anti-mouse IgG (Alexa Fluor 568, Abcam, ab175473)",secondary,Abcam,ab175473,post-expansion,
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"secondary antibodies (111-547-008, Jackson ImmunoResearch)",secondary,Jackson ImmunoResearch,111-547-008,post-expansion,
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"Alexa Fluor 488–conjugated anti-chicken secondary antibody (Abcam, ab150169)",secondary,Abcam,ab150169,pre-expansion,
Epitope-preserving magnified analysis of proteome (eMAP),Park 2021,"Alexa Fluor 647–conjugated anti-chicken antibody (Abcam, ab150175)",secondary,Abcam,ab150175,post-expansion,
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,rabbit anti-Alexa Fluor 488 antibody,primary,ThermoFisher Scientific,A11094,pre-expansion,10 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,goat anti-FITC Alexa Fluor 488,secondary,ThermoFisher Scientific,A11096,pre-expansion,10 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,rabbit anti-FITC,primary,ThermoFisher Scientific,A889,pre-expansion,10 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,mouse anti-FITC,primary,Jackson ImmunoResearch,200-002-037,pre-expansion,10 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,goat anti-rabbit Alexa Fluor 546,secondary,ThermoFisher Scientific,A11035,pre-expansion,5 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,donkey anti-rabbit Alexa Fluor 546,secondary,ThermoFisher Scientific,A10040,pre-expansion,5 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,goat anti-mouse Alexa Fluor 546,secondary,ThermoFisher Scientific,A11030,pre-expansion,5 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,donkey anti-mouse CF 633,secondary,Biotium,20124,pre-expansion,5 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,goat anti-mouse CF 633,secondary,Biotium,20341,pre-expansion,5 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,goat anti-rabbit CF 633,secondary,Biotium,20123,pre-expansion,5 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,goat anti-chicken Alexa Fluor 488,secondary,ThermoFisher Scientific,A11039,pre-expansion,5 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,goat anti-chicken Alexa Fluor 546,secondary,ThermoFisher Scientific,A11040,pre-expansion,5 μg/mL
Super-Resolution Three-Dimensional Imaging of Actin Filaments in Cultured Cells and the Brain via Expansion Microscopy,Park 2020,goat anti-rabbit Alexa Fluor 488,secondary,Jackson ImmunoResearch,111-545-144,pre-expansion,5 μg/mL
Trifunctional Linkers Enable Improved Visualization of Actin by Expansion Microscopy,Wen 2023,mouse anti-α-tubulin,primary,Abcam,ab7291,pre-expansion,2 μg/mL
Trifunctional Linkers Enable Improved Visualization of Actin by Expansion Microscopy,Wen 2023,Bassoon antibody,primary,Synaptic Systems (SYSY),141 111,pre-expansion,1:200
Trifunctional Linkers Enable Improved Visualization of Actin by Expansion Microscopy,Wen 2023,Homer antibody,primary,Synaptic Systems (SYSY),160 003,pre-expansion,1:200
Trifunctional Linkers Enable Improved Visualization of Actin by Expansion Microscopy,Wen 2023,rabbit anti-Alexa Fluor 488 antibodies,primary,Invitrogen,A11094,pre-expansion,10 μg/mL
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,HsPOC5,primary,Bethyl,A303-341A,post-expansion,1:200 (iU-ExM & U-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,NUP98-96,primary,ProteinTech,12329-1-AP,post-expansion,1:200 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,NUP205,primary,ProteinTech,24439-1-AP,post-expansion,1:200 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Rat Anti-HA,primary,Roche,11 867 423 001,post-expansion,1:250 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Rhodopsin,primary,Thermo Scientific,MA5-11741,post-expansion,1:250 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Centrin,primary,Millipore,04-1624,post-expansion,1:250 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,LCA5,primary,Proteintech,19333-1-AP,post-expansion,1:250 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,CEP290,primary,Proteintech,22490-1-AP,post-expansion,1:250 (iU-ExM and U-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Rat 488,secondary,Invitrogen,A21208,post-expansion,"1:250 (iU-ExM), 1:400 (U-ExM)"
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Rabbit 488,secondary,Invitrogen,A11008,post-expansion,"1:250 (iU-ExM), 1:400 (U-ExM)"
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Mouse 488,secondary,Invitrogen,A11029,post-expansion,"1:250 (iU-ExM), 1:400 (U-ExM)"
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Mouse 568,secondary,Invitrogen,A11004,post-expansion,"1:250 (iU-ExM), 1:400 (U-ExM)"
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Guinea Pig 568,secondary,Invitrogen,A11075,post-expansion,"1:250 (iU-ExM), 1:400 (U-ExM)"
Protein-retention expansion microscopy of cells and tissues labeled using standard fluorescent proteins and antibodies,Tillberg 2016,Sheep Anti-Tubulin,primary,Cytoskeleton,ATN02,pre-expansion,10 µg/mL
